"","sample_id","technology","read_counts"
"129","17-HC1-chla","vanilla",27180406
"130","18-HRC2-chla","vanilla",30029780
"131","19-N29-HLOH","vanilla",32297088
"132","2-OS2-chla","vanilla",29650406
"133","20-N17-HLOH","vanilla",47245110
"134","21-N28-HLOH","vanilla",26221548
"135","22-N23-HLOH","vanilla",34831246
"136","23-N21-HLOH","vanilla",20692456
"137","24-N25-HLOH","vanilla",16532738
"138","3-OS3-chla","vanilla",29595076
"139","4-OS4-chla","vanilla",24392146
"140","5-OS7-chla","vanilla",28395340
"141","6-OS8-chla","vanilla",16200406
"142","7-OS6-HLOH","vanilla",38943260
"143","8-OS7-HLOH","vanilla",30023656
"144","9-OS11-HLOH","vanilla",24347042
